neg_event,event
PersonX does not sneak up behind PersonY,PersonX sneaks up behind PersonY
PersonX does not send PersonY a text,PersonX sends PersonY a text
PersonX does not rid the bus home,PersonX rids the bus home
PersonX does not make PersonY a sandwich,PersonX makes PersonY a sandwich
PersonX does not play against PersonY,PersonX plays against PersonY
PersonX does not say hello to PersonY,PersonX says hello to PersonY
PersonX does not play professional football,PersonX plays professional football
PersonX does not make PersonY enemy,PersonX makes PersonY enemy
PersonX does not tell PersonY not to worry,PersonX tells PersonY not to worry
PersonX does not tell PersonY where to shove it,PersonX tells PersonY where to shove it
PersonX does not prolong PersonY's life,PersonX prolongs PersonY's life
PersonX does not make PersonY judgment,PersonX makes PersonY judgment
PersonX does not tilt PersonY's head back,PersonX tilts PersonY's head back
PersonX does not promote to manager,PersonX promotes to manager
PersonX does not start smoking,PersonX starts smoking
PersonX does not make a lot of friends,PersonX makes a lot of friends
PersonX does not want to have a party,PersonX wants to have a party
PersonX does not withdraw PersonY's hand,PersonX withdraws PersonY's hand
PersonX does not push PersonY out of the way,PersonX pushes PersonY out of the way
PersonX does not make fun,PersonX makes fun
PersonX does not take part in discussions,PersonX takes part in discussions
PersonX does not give PersonY order,PersonX gives PersonY order
PersonX does not throw water,PersonX throws water
PersonX does not put to the sword,PersonX puts to the sword
PersonX does not make fun of PersonY's,PersonX makes fun of PersonY's
PersonX does not turn things around,PersonX turns things around
PersonX does not shower upon PersonY,PersonX showers upon PersonY
PersonX does not make jokes,PersonX makes jokes
PersonX does not give PersonY work,PersonX gives PersonY work
PersonX does not mean every word,PersonX means every word
PersonX does not send PersonY's flowers,PersonX sends PersonY's flowers
PersonX does not stretch PersonY's legs,PersonX stretches PersonY's legs
PersonX does not give the speech,PersonX gives the speech
PersonX does not sign the papers,PersonX signs the papers
PersonX did not quickly open,PersonX quickly opened
PersonX does not write a new song,PersonX writes a new song
PersonX does not go for the throat,PersonX goes for the throat
PersonX does not rush PersonY to the hospital,PersonX rushes PersonY to the hospital
PersonX does not quit drinking,PersonX quits drinking
PersonX does not go see the doctor,PersonX goes see the doctor
PersonX does not search PersonY,PersonX searches PersonY
PersonX does not raise PersonY from the dead,PersonX raises PersonY from the dead
PersonX does not take part in the movement,PersonX takes part in the movement
PersonX does not mean everything to PersonY,PersonX means everything to PersonY
PersonX does not go talk to PersonY,PersonX goes talk to PersonY
PersonX does not try to help PersonY,PersonX tries to help PersonY
PersonX does not reach PersonY's hand,PersonX reaches PersonY's hand
PersonX does not stand PersonY up,PersonX stands PersonY up
PersonX does not meet PersonY's boyfriend's parents,PersonX meets PersonY's boyfriend's parents
PersonX does not go to the dentist's office,PersonX goes to the dentist's office
PersonX does not meet a new friend,PersonX meets a new friend
PersonX does not visit PersonX's parents,PersonX visits PersonX's parents
PersonX does not receive PersonX's diploma,PersonX receives PersonX's diploma
PersonX did not grab PersonY's face,PersonX grabs PersonY's face
PersonX might not be pregnant,PersonX might be pregnant
PersonX does not take advantage of PersonY,PersonX takes advantage of PersonY
PersonX does not have a panic attack,PersonX has a panic attack
PersonX does not mind PersonY business,PersonX minds PersonY business
PersonX does not record PersonX,PersonX records PersonX
PersonX does not warm PersonY up,PersonX warms PersonY up
PersonX does not tell PersonX's tale,PersonX tells PersonX's tale
PersonX does not move PersonY's hands,PersonX moves PersonY's hands
PersonX does not rent movies,PersonX rents movies
PersonX does not talk about PersonY,PersonX talks about PersonY
PersonX does not train PersonY,PersonX trains PersonY
PersonX does not have a ton of fun,PersonX has a ton of fun
PersonX does not rescue PersonY's dog,PersonX rescues PersonY's dog
PersonX does not see PersonY's grandma,PersonX sees PersonY's grandma
PersonX does not hear PersonY's words,PersonX hears PersonY's words
PersonX does not spend more money,PersonX spends more money
PersonX does not hide PersonY's face,PersonX hides PersonY's face
PersonX does not wash PersonY's hair,PersonX washes PersonY's hair
PersonX does not move to a new city,PersonX moves to a new city
PersonX does not see PersonY's works,PersonX sees PersonY's works
PersonX does not rid PersonY's bike,PersonX rids PersonY's bike
PersonX does not hide in plain sight,PersonX hides in plain sight
PersonX does not act on PersonY's behalf,PersonX acts on PersonY's behalf
PersonX does not move to europe,PersonX moves to europe
PersonX does not talk to PersonY's daughter,PersonX talks to PersonY's daughter
PersonX does not move to texas,PersonX moves to texas
PersonX does not hire PersonY attorney,PersonX hires PersonY attorney
PersonX does not advise PersonY to go,PersonX advises PersonY to go
PersonX does not speak with PersonY,PersonX speaks with PersonY
PersonX does not want to throw a party,PersonX wants to throw a party
PersonX does not hit PersonY on the head,PersonX hits PersonY on the head
PersonX does not agree to go,PersonX agrees to go
PersonX does not tell stories,PersonX tells stories
PersonX does not rid with PersonY,PersonX rides with PersonY
PersonX did not always give,PersonX always gave
PersonX does not hit the target,PersonX hits the target
PersonX does not take PersonY's friends out,PersonX takes PersonY's friends out
PersonX does not work the room,PersonX works the room
PersonX did not always stay,PersonX always stayed
PersonX does not hold PersonY fast,PersonX holds PersonY fast
PersonX does not start a food fight,PersonX starts a food fight
PersonX does not argue PersonY's case,PersonX argues PersonY's case
PersonX does not hold out PersonY's arms,PersonX holds out PersonY's arms
PersonX does not take PersonY to the house,PersonX takes PersonY to the house
PersonX does not wrap PersonY's legs around PersonY's waist,PersonX wraps PersonY's legs around PersonY's waist
PersonX does not ask PersonY to prom,PersonX asks PersonY to prom
PersonX does not increase PersonY's power,PersonX increases PersonY's power
PersonX does not tell PersonY to sit down,PersonX tells PersonY to sit down
PersonX does not interview for PersonX's dream job,PersonX interviews for PersonX's dream job
PersonX does not ask PersonY's friend for help,PersonX asks PersonY's friend for help
PersonX does not return to PersonY's room,PersonX returns to PersonY's room
PersonX does not swat the ball,PersonX swats the ball
PersonX does not invite PersonY's family,PersonX invites PersonY's family
PersonX does not take PersonY's dog out,PersonX takes PersonY's dog out
PersonX does not ask PersonY's mom for help,PersonX asks PersonY's mom for help
PersonX is not a really nice guy,PersonX is a really nice guy
PersonX does not take the offensive,PersonX takes the offensive
PersonX does not stay with PersonY's mom,PersonX stays with PersonY's mom
PersonX is not at the mall with PersonX's friends,PersonX is at the mall with PersonX's friends
PersonX does not ask the woman,PersonX asks the woman
PersonX does not sweep PersonY off their feet,PersonX sweeps PersonY off their feet
PersonX does not avoid PersonY contact,PersonX avoids PersonY contact
PersonX is not cleaning PersonY's house,PersonX is cleaning PersonY's house
PersonX does not work late,PersonX works late
PersonX is not feeling sad,PersonX is feeling sad
PersonX does not bark at PersonY,PersonX barks at PersonY
PersonX does not take PersonX's girlfriend out to dinner,PersonX takes PersonX's girlfriend out to dinner
PersonX is not going to kill PersonY,PersonX is going to kill PersonY
PersonX does not become more comfortable,PersonX becomes more comfortable
PersonX does not smoke a pack of cigarettes a day,PersonX smokes a pack of cigarettes a day
PersonX is not having PersonY's birthday party,PersonX is having PersonY's birthday party
PersonX does not become roommates,PersonX becomes roommates
PersonX is not having trouble sleeping at night,PersonX is having trouble sleeping at night
PersonX does not become very good,PersonX becomes very good
PersonX is not laughing at PersonY,PersonX is laughing at PersonY
PersonX is not near PersonY,PersonX is near PersonY
PersonX does not bite PersonY's finger,PersonX bites PersonY's finger
PersonX is not nice to PersonY,PersonX is nice to PersonY
PersonX does not serve PersonY faithfully,PersonX serves PersonY faithfully
PersonX does not blow a kiss,PersonX blows a kiss
PersonX is not riding PersonY's bike,PersonX is riding PersonY's bike
PersonX does not wear PersonY's helmet,PersonX wears PersonY's helmet
PersonX is not so much fun,PersonX is so much fun
PersonX is not tired from work,PersonX is tired from work
PersonX does not sing and dance,PersonX sings and dance
PersonX does not show PersonX's cards,PersonX shows PersonX's cards
PersonX is not washing the dishes,PersonX is washing the dishes
PersonX does not keep PersonY commandments,PersonX keeps PersonY commandments
PersonX does not take PersonY's back,PersonX takes PersonY's back
PersonX does not keep PersonY in condition,PersonX keeps PersonY in condition
PersonX does not sit opposite PersonY,PersonX sits opposite PersonY
PersonX does not keep PersonY in order,PersonX keeps PersonY in order
PersonX does not kiss the top of PersonY's head,PersonX kisses the top of PersonY's head
PersonX does not laugh a lot,PersonX laughs a lot
PersonX does not talk to PersonX's parents,PersonX talks to PersonX's parents
PersonX does not urge PersonY forward,PersonX urges PersonY forward
PersonX does not lay PersonY egg,PersonX lays PersonY egg
PersonX does not learn computer programming,PersonX learns computer programming
