event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not keep PersonX's mouth shut,"[""none""]","[""none""]","[""none"", ""to listen to PersonX"", ""to respond to PersonX""]","[""irresponsible"", ""unreliable"", ""gossipy"", ""chatty""]","[""they get scolded"", ""they choke on a fly"", ""talks out of place"", ""exposes secrets""]","[""to say something"", ""speak their mind"", ""to be a showoff"", ""to get some attention""]","[""object to something"", ""speak up about something"", ""to hear something"", ""to get riled up""]","[""guilty"", ""regretful for opening their mouth"", ""energetic"", ""boastful""]","[""confront someone"", ""argue with someone"", ""to speak their mind"", ""to be heard""]",trn,PersonX keeps PersonX's mouth shut
PersonX does not draw PersonY close,"[""none"", ""has to find someone to draw them"", ""wonders why PersonX wouldn't paint her""]","[""bad"", ""sad"", ""unloved"", ""repellant""]","[""draw Person X close"", ""cry"", ""to find out why X doesn't like them"", ""to get closer to x""]","[""withdrawn"", ""unavailable"", ""unfriendly"", ""unkind""]","[""becomes a loner"", ""is depressed"", ""none""]","[""PersonY to be nice"", ""PersonY to be kind"", ""none""]","[""go to Person Y house"", ""see Person Y"", ""none""]","[""satisfied"", ""completed"", ""distant"", ""set apart"", ""bored""]","[""draw Person Y close"", ""go home"", ""to avoid Y"", ""to not let Y in their life""]",trn,PersonX draws PersonY close
PersonX does not apologize profusely,"[""none"", ""become disappointed in PersonX"", ""have clarity of PersonX's attitude""]","[""hurtful"", ""worried"", ""Sad and disappointed"", ""Surprised and confused""]","[""to stand ans shout boo"", ""to demand their money back"", ""to hear an apology"", ""to make X suffer""]","[""rude"", ""disrespectful"", ""stuck up"", ""thick headed""]","[""none"", ""seem unfeeling"", ""get scolded""]","[""none"", ""To maintain their pride"", ""To get revenge""]","[""none"", ""to offend someone"", ""to cause stress or embarrassment""]","[""nervous"", ""worried"", ""Proud for standing up for themselves"", ""Entitled and powerful""]","[""to make sure their comments are not misunderstood"", ""apologize to the audience anyway"", ""to see where things went wrong"", ""to make up for it""]",trn,PersonX apologizes profusely
PersonX does not send shivers down PersonY's spine,"[""none""]","[""none"", ""ok"", ""at ease""]","[""to get to know PersonX"", ""to learn more about PersonX"", ""to feel safe"", ""to be protected by personX""]","[""boring"", ""uninspired"", ""unimpressive"", ""not alluring"", ""unattractive"", ""incompatible""]","[""none""]","[""none""]","[""to interact with PersonY"", ""to meet PersonY"", ""to send calming vibes"", ""to protect personY""]","[""bad"", ""unhappy"", ""good"", ""pleased""]","[""to become friends with PersonY"", ""to talk business with PersonY"", ""to make sure personY is comfortable"", ""to watch personY""]",trn,PersonX sends shivers down PersonY's spine
PersonX did not leave PersonY alone,"[""none""]","[""annoyed with PersonX"", ""bothered by PersonX's attention"", ""none""]","[""to tell personX that they'd better not bother them again"", ""to avoid being near personX"", ""none""]","[""annoying"", ""intrusive"", ""relentless""]","[""is hit"", ""is yelled at"", ""gets arrested"", ""gets shot""]","[""to be with Person Y"", ""to make sure Person Y is well"", ""none""]","[""to repeatedly bother personY"", ""to be near personY"", ""needs company"", ""Requires enough security""]","[""caring"", ""concerned"", ""bothered"", ""busy""]","[""to apologize to personY for being a pest"", ""to tell personY that they were feeling lonely"", ""Needs to be Appreciated"", ""Requires to be Acknowdged""]",trn,PersonX left PersonY alone
PersonX does not confess to PersonY,"[""none""]","[""confused"", ""worried"", ""none""]","[""to confront personx"", ""to beat personx"", ""none""]","[""secretive"", ""trustworthy"", ""lazy"", ""alone""]","[""keeps the secret"", ""mistrusts PersonY"", ""none""]","[""they are afraid to lose PersonY"", ""they are nervous PersonY will not love them back"", ""none""]","[""none""]","[""conflicted"", ""anxious"", ""unhappy"", ""deceiving""]","[""to avoid shame"", ""to avoid confrontation"", ""ignore them"", ""go home""]",trn,PersonX confesses to PersonY
PersonX does not send PersonY money,"[""have more money"", ""have respect for PersonX"", ""Person Y goes broke"", ""Person Y cries""]","[""unsupported"", ""in need"", ""letdown"", ""disappointed""]","[""none""]","[""frugal"", ""stubborn"", ""stingy"", ""ungenerous"", ""miserly""]","[""get appreciated"", ""have no guilt"", ""Person X has extra money"", ""Person X is yelled at""]","[""save money"", ""encourage personY to support themselves"", ""to keep their money"", ""to not help out""]","[""none""]","[""responsible"", ""guilty"", ""selfish"", ""confident"", ""needy""]","[""personY to get a job"", ""to buy a new car"", ""to save the money"", ""use the money for something else""]",trn,PersonX sends PersonY money
PersonX does not look very happy,"[""none"", ""wants to cheer personX up"", ""asks personX what is wrong""]","[""none""]","[""none""]","[""bored"", ""miserable"", ""sad"", ""upset""]","[""cries"", ""falls down"", ""none""]","[""none""]","[""none"", ""to have broke up with boyfriend"", ""to be having a bad day""]","[""depressed"", ""down in the dumps"", ""distressed"", ""unhappy"", ""miserable"", ""ashamed"", ""content""]","[""to work"", ""remove low mood"", ""to go to the bar"", ""to get drunk""]",trn,PersonX looks very happy
PersonX is not running for president,"[""none""]","[""none""]","[""none""]","[""uninvolved"", ""uncompetitive"", ""reserved"", ""uncommitted""]","[""doesn't think of slogans"", ""doesn't campaign"", ""none""]","[""a quite life"", ""no attention"", ""to stay out of politics"", ""to avoid conflict""]","[""none""]","[""satisfied"", ""relaxed"", ""decisive"", ""satsified""]","[""to reflect"", ""sleep"", ""to not have that responsibility"", ""to be free the next four years""]",trn,PersonX is running for president
PersonX does not pull PersonY closer,"[""Wonders if person X is upset"", ""Tries to get closer to person EX"", ""none""]","[""rejected"", ""upset"", ""confused"", ""saddened""]","[""none""]","[""aloof"", ""timid"", ""shy"", ""uninterested"", ""uncommitted""]","[""none""]","[""to not make things awkward"", ""to keep PersonY at arm's length"", ""to be respectful"", ""to rethink his actions""]","[""none"", ""to be far away from PersonY"", ""to do something else""]","[""cagey"", ""conflicted"", ""embarrassed"", ""regretful""]","[""to get closer to PersonY"", ""to extend hands to reach""]",trn,PersonX pulls PersonY closer
PersonX is not at the store with PersonY's mom,"[""none""]","[""none"", ""Ignored"", ""Confused""]","[""none""]","[""active"", ""outgoing"", ""unavailable"", ""absent""]","[""none""]","[""none"", ""They are sick"", ""They don\u2019t like the mom""]","[""none""]","[""alone"", ""busy"", ""Relieved"", ""Happy""]","[""stay home"", ""not go to the store"", ""to go shopping"", ""to go out to a different store""]",trn,PersonX is at the store with PersonY's mom
PersonX does not take nothing for granted,"[""none""]","[""none""]","[""none""]","[""thoughtful"", ""attentive"", ""respectful"", ""serious"", ""concerned""]","[""none"", ""have a stable family life"", ""have good friends""]","[""to appreciate life"", ""to have gratitude"", ""none""]","[""none""]","[""gracious"", ""appreciation"", ""appreciative"", ""thankful""]","[""to live life to the fullest"", ""to seize all opportunities"", ""to express gratitude"", ""to be cognizant""]",trn,PersonX takes nothing for granted
PersonX does not give PersonY a smile,"[""none"", ""get surprised by PersonX's attitude"", ""become perplexed""]","[""confused"", ""hurt"", ""unhappy""]","[""none"", ""to ask personX if they are in a bad mood"", ""to not smile at personX""]","[""somber"", ""grave"", ""shy"", ""timid""]","[""none"", ""seem cold"", ""seem unfriendly""]","[""to be rude"", ""to make a point"", ""to express anger"", ""to express dislike""]","[""none"", ""to see personY"", ""to not want to smile""]","[""pleased"", ""proud"", ""normal"", ""fine""]","[""to  be hard"", ""to be angry"", ""to avoid looking at personY"", ""to tell personX they are not in a good mood""]",trn,PersonX gives PersonY a smile
PersonX does not reject PersonY,"[""none""]","[""attached"", ""in love"", ""togetherness"", ""wanted"", ""happy"", ""appreciated""]","[""smile"", ""do something with X"", ""none""]","[""accepting"", ""kind"", ""forgiving"", ""interested"", ""amenable"", ""open""]","[""Taken out on date"", ""Kissed at the end"", ""none""]","[""to be close to PersonY"", ""to love PersonY"", ""to marry PersonY"", ""to accept PersonY"", ""to show PersonY they want them""]","[""none""]","[""closeness"", ""attachment"", ""love"", ""accepting"", ""satisfied""]","[""be with Y"", ""get to know Y"", ""to accept them"", ""to give them love""]",trn,PersonX rejects PersonY
PersonX does not chat with PersonY,"[""none""]","[""confused"", ""insulted"", ""offended"", ""dejected""]","[""none""]","[""uncaring"", ""not mindful"", ""unfriendly"", ""ani-social""]","[""none""]","[""to avoid PersonY"", ""to be alone"", ""to not talk about a certain issue"", ""to be aloof"", ""to avoid that person""]","[""sleep"", ""roaming with others"", ""none""]","[""relieved"", ""uncool"", ""awkward"", ""indifferent""]","[""chat with y"", ""hangout with y"", ""wants to see them in person"", ""to give them a call""]",trn,PersonX chats with PersonY
PersonX does not get a tutor,"[""none""]","[""none""]","[""none""]","[""unconcerned"", ""independent"", ""smart"", ""educated""]","[""becomes self taught"", ""work harder"", ""studies on their own"", ""tries harder to learn"", ""does not care about learning""]","[""to save money"", ""to avoid studying"", ""to do well on own"", ""to study hard""]","[""struggle in school"", ""fail a class"", ""none""]","[""frugal"", ""lazy"", ""satisfied"", ""accomplished""]","[""study harder"", ""drop the class"", ""to be lazy"", ""to remain unfocused""]",trn,PersonX gets a tutor
PersonX does not sing PersonY's songs,"[""none""]","[""let down"", ""offended"", ""none""]","[""none""]","[""inconsiderate"", ""rude"", ""unmusical"", ""untalented""]","[""none""]","[""to practice them more first"", ""to slight PersonY"", ""sing their own songs"", ""avoid helping PersonY""]","[""none""]","[""unprepared"", ""disrespectful"", ""judgemental"", ""immature""]","[""sing x' own songs"", ""perform a dance"", ""to sing their songs"", ""to recite a poem""]",trn,PersonX sings PersonY's songs
PersonX does not eat at the restaurant,"[""none""]","[""none""]","[""none""]","[""thin"", ""healthy"", ""picky"", ""full""]","[""goes hungry"", ""has to cook"", ""none""]","[""choose a different restaurant"", ""skip a meal"", ""to eat elsewhere"", ""to eat at a later time""]","[""none"", ""purchase all vegetables"", ""to go shopping""]","[""uninterested"", ""satiated"", ""full"", ""satisfied""]","[""save money"", ""cook dinner at home"", ""to cook food in their food"", ""to arrange the home""]",trn,PersonX eats at the restaurant
PersonX does not move back home,"[""none"", ""miss PersonX"", ""request PersonX's presence""]","[""none"", ""saddened"", ""understanding""]","[""none""]","[""hard to understand"", ""cruel"", ""adventurous"", ""free-wheeling""]","[""none"", ""becomes free"", ""enjoy adulthood""]","[""to live alone"", ""to live with friends"", ""to be uncontrolled"", ""to be independent""]","[""to have moved across town"", ""to be in their own aprtment"", ""none""]","[""independent"", ""confident"", ""proud"", ""strong""]","[""to enjoy their freedom"", ""to spend time alone"", ""rent a room"", ""stay with a friend""]",trn,PersonX moves back home
PersonX does not tangle PersonY's fingers,"[""none""]","[""none"", ""grateful"", ""supported""]","[""to make PersonX let go of their hand"", ""to hold hands with PersonX"", ""none""]","[""calm"", ""gentle"", ""non-violent"", ""unprovocative""]","[""none""]","[""none"", ""to protect person Y"", ""to keep person Y calm""]","[""to know PersonY"", ""to hold PersonY's hand"", ""none""]","[""happy"", ""not bothered"", ""protective"", ""loving""]","[""to hold PersonY's hand"", ""to let go of PersonY"", ""his intentions be laid bare"", ""to be allowed to straighten matters""]",trn,PersonX tangles PersonY's fingers
PersonX does not play video games,"[""none""]","[""none""]","[""none""]","[""INDEPENDENT"", ""SCARED"", ""uninterested"", ""unpracticed""]","[""none"", ""becomes tired"", ""gains self control""]","[""to avoid wasting time"", ""to do something productive instead"", ""to have less screen time"", ""to enjoy print materials""]","[""none"", ""to set up the PlayStation"", ""to realize it is broken""]","[""accomplished"", ""driven"", ""wise"", ""like a Luddite""]","[""to engage in another activity"", ""to play solitaire""]",trn,PersonX plays video games
PersonX does not leave a bad review,"[""none""]","[""Relieved"", ""Satisfied with service given"", ""none""]","[""none""]","[""kind"", ""satisfied"", ""cautious"", ""aware""]","[""none""]","[""Satisfied with service"", ""Doesn't want to cause problems"", ""none""]","[""none""]","[""Pleased with self"", ""Proud"", ""comfortable"", ""humane""]","[""to leave a good review"", ""to leave no review"", ""to do nothing"", ""to be kind"", ""to be considerate""]",trn,PersonX leaves a bad review
