event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX earns some money,"[""none""]","[""none""]","[""none""]",tst,"[""Tired"", ""talented"", ""Giver"", ""skilled""]","[""spends more"", ""saves more""]","[""to have some extra cash to spend"", ""to buy something"", ""to pay bills"", ""to build up savings""]","[""to drive to work"", ""to get a job"", ""to find work"", ""to work hard"", ""to be trained for the work"", ""to to go to a temp agency"", ""to work""]","[""tired"", ""content"", ""proud"", ""happy to have some money"", ""consumeristic"", ""safe"", ""accomplished""]","[""to find more work"", ""to pay bills"", ""to save money for a house"", ""to spend the cash"", ""to put money in the bank"", ""to acquire more training"", ""to save the money"", ""to buy a car"", ""to invest the money""]"
PersonX is even worse,"[""none""]","[""none""]","[""none""]",tst,"[""undesirable"", ""unhealthy"", ""saddened"", ""despicable""]","[""lays down"", ""exhausted"", ""none""]","[""none""]","[""none""]","[""sick"", ""bad"", ""unhappy"", ""terrible""]","[""to start rumors"", ""to do better"", ""to cheat on the test"", ""to get better"", ""to go to sleep"", ""to run away""]"
PersonX skips class,"[""none"", ""classmates wonder where you are"", ""professor knows""]","[""none""]","[""none""]",tst,"[""rebelious"", ""free-spirited"", ""careless"", ""unreliable"", ""reckless"", ""uninterested"", ""impulsive""]","[""gets detention, yelled at"", ""fails"", ""gets in trouble"", ""Misses out on classwork"", ""Gets in trouble"", ""misses information""]","[""to hangout with friends"", ""have fun"", ""to hang out with friends""]","[""to write a fake note"", ""to gather their belongings"", ""sneak out of the classroom"", ""to turn off alarm"", ""to have somewhere better to go"", ""to call in sick"", ""to go back to sleep""]","[""dishonest"", ""happy"", ""rebellious""]","[""to watch a movie"", ""go to the arcade"", ""to enjoy the day off"", ""to stay home all day"", ""hang out with friends"", ""to hang out with friends""]"
PersonX joins the swim team,"[""none"", ""swim coach teaches PersonX"", ""they swim well too"", ""they also get a medal"", ""fellow swimmers compete along with PersonX""]","[""happy to welcome him."", ""excited"", ""happy"", ""glad that person x has joined their team.""]","[""none"", ""to go swimming"", ""to win competitions""]",tst,"[""athletic"", ""determined"", ""talented"", ""competitive"", ""skilled""]","[""competes"", ""swims"", ""wins a medal"", ""PersonX competes at swimming competition."", ""PersonX gets in shape physically."", ""does well""]","[""to win."", ""to learn swimming"", ""to be in the team"", ""to prove himself."", ""to be a member of the team.""]","[""to audition for the swim team"", ""to sign up"", ""to buy a bathing suit"", ""to learn how to swim""]","[""exhausted"", ""tired"", ""proud"", ""like they belong."", ""excited""]","[""to practice"", ""to swim competitively"", ""to go swimming"", ""to be in a competition""]"
PersonX sets a ___ at variance,"[""none""]","[""special""]","[""to help him"", ""to ask PersonX to agree"", ""none"", ""to support him"", ""to yell at PersonX""]",tst,"[""percise"", ""exact"", ""exasting"", ""Directing"", ""precise"", ""Exacting""]","[""has conflict"", ""none"", ""stands firm""]","[""to be special"", ""to help""]","[""to train him"", ""to have a difference in opinion with everyone in the family"", ""to be in the jury"", ""to be in a decision making meeting"", ""to have the thing in question"", ""to distinguish it from other things"", ""to find him""]","[""powerful""]","[""to take notes about it"", ""to extract work from him"", ""to give the man all the facts so they understand"", ""to reach a conclusion"", ""to carry out his responsibilities"", ""to strengthen their argument"", ""to disagree with everyone else""]"
PersonX gets PersonY's driver's license,"[""can drive on their own"", ""none"", ""personY cannot drive."", ""personY gets their driver's license back."", ""wants to get a car""]","[""humble"", ""greatful"", ""helpless""]","[""none""]",tst,"[""Helpful"", ""prepared"", ""caring"", ""responsible"", ""considerate"", ""Kind""]","[""personX is arrested for stealing."", ""drives to the DMV"", ""none"", ""wants personY to drive them somewhere"", ""personX drives.""]","[""to have the item"", ""to review information"", ""to help person get their license""]","[""read"", ""money""]","[""helpful"", ""useful""]","[""to drive"", ""drive home""]"
PersonX takes for a ride,"[""none""]","[""traveled""]","[""none"", ""to get to the store"", ""to drive around town""]",tst,"[""chummy"", ""casual"", ""rider"", ""affable"", ""spontaneous"", ""tripper""]","[""tired"", ""gets lost"", ""gets out of the house"", ""travels a route or path""]","[""none""]","[""to have mobile phone app"", ""to start up the car"", ""none"", ""to have booked uber"", ""to go outside""]","[""driven""]","[""to go home"", ""to get to the store"", ""to pay bill"", ""to drive around town"", ""Watchs the sunset."", ""Goes down the back roads""]"
PersonX brings the ___ into disrepute,"[""Find themselves on the defensive"", ""Loses funding"", ""is seen badly by the public"", ""receives answer to comments"", ""receives new information"", ""Loses peoples trust.""]","[""none"", ""unhappy about their loss of reputation.""]","[""none"", ""to maintain credibility"", ""to desicredt them in return"", ""diistance themselves from person X"", ""file a police report on person X""]",tst,"[""case"", ""officer"", ""awful"", ""daring"", ""independent"", ""disliked""]","[""They are censured"", ""gets tired"", ""They are black balled"", ""Gets yelled at"", ""receives complaint for his work"", ""receives praise for his work"", ""Is challenged by others for their view""]","[""none"", ""to take revenge on them.""]","[""tell lies"", ""forge documents"", ""none"", ""to bring others in"", ""to have authority""]","[""guilty"", ""triumphant that he has succeeded in his plan""]","[""to look better"", ""to show strong leadership"", ""to obtain results"", ""flee country"", ""try to make things better"", ""to discredit a cause""]"
PersonX wants ___ very badly,"[""none""]","[""none""]","[""none""]",tst,"[""envious"", ""desiring"", ""anamored"", ""desperate"", ""jealous"", ""hopeful""]","[""thinks about how to get it"", ""none"", ""thinks about having one"", ""wonder's what they cost"", ""thinks more about it""]","[""none"", ""to obtain something"", ""to quench his thrist""]","[""to try different ones"", ""to research video game systems"", ""none""]","[""eager to taste it"", ""sad"", ""satisfied and happy""]","[""to apply for everything"", ""to work hard"", ""to practice and train every day"", ""Make the drink."", ""to convince people to get it for them"", ""to set their system up"", ""Start to drink it."", ""to buy one""]"
PersonX broadens the ___ to include,"[""none""]","[""looked after.""]","[""to know where to look"", ""to know parameters of situation"", ""to search as well"", ""to find what is sought"", ""none""]",tst,"[""farsighted"", ""thorough"", ""helpful"", ""brilliant"", ""inclusive"", ""competent""]","[""none"", ""PersonX expands the curriculum"", ""PersonX expands the requirements"", ""gets more responses"", ""finds more results""]","[""to help in a bigger way.""]","[""to of started the search"", ""to figure out the parameters to be broadened"", ""none"", ""to learn something he can add to it"", ""to pass the information around to those that need it""]","[""helpful.""]","[""to expand research"", ""to locate the lost item"", ""to find what they are looking for"", ""to have big social circle"", ""to find the missing person"", ""to look the best they can""]"
PersonX feels helpless,"[""none""]","[""none"", ""scared"", ""worried"", ""powerful""]","[""none""]",tst,"[""in need"", ""vulnerable"", ""constrained"", ""timid""]","[""asks some one help"", ""gets supported"", ""gets helped"", ""starts to cry"", ""wipes their tears"", ""is very stressed out""]","[""none""]","[""to hear bad news"", ""none"", ""to try to do something""]","[""helpless"", ""strained"", ""terrible"", ""scared"", ""powerless"", ""stressed""]","[""To feel empowered"", ""to give up"", ""to try to do something to fix the situation"", ""To change his situation""]"
PersonX goes to the post office,"[""none""]","[""none""]","[""none""]",tst,"[""precise"", ""running errands"", ""doing everyday tasks"", ""punctual""]","[""gets mail"", ""gets tired of walking to the office"", ""sends mail"", ""no effect""]","[""to mail a package."", ""to mail something.""]","[""money for buy a card"", ""car for travelling"", ""need a friend with go eachother"", ""need a card to send""]","[""satisfied."", ""relieved.""]","[""he want live good"", ""he applied for loan for business"", ""he want earn money"", ""he want a good job""]"
PersonX breaks free,"[""wonders where they are"", ""wants to find them"", ""none""]","[""angry"", ""upset"", ""none"", ""surprised""]","[""none""]",tst,"[""energetic"", ""motivated"", ""determined"", ""forceful"", ""independent""]","[""PersonX breaks free in collage"", ""wants to stay free"", ""PersonX breaks free in school"", ""grins""]","[""to escape something"", ""to go home"", ""to not be tied up"", ""freedom""]","[""locked up"", ""to get a way out"", ""to be confined"", ""to struggle to get free"", ""needs to be chained up"", ""to use his muscle power""]","[""scared"", ""safe"", ""nervous"", ""hopeful"", ""free"", ""relieved""]","[""to take rest"", ""to get away"", ""to leave the place"", ""to regain control"", ""run"", ""to be free""]"
PersonX steals it from PersonY,[],[],[],tst,[],[],[],[],[],[]
PersonX drives ___ in PersonX's new car,"[""none"", ""Is temporarily without transportation"", ""Will need to put more gas in later""]","[""none""]","[""none""]",tst,"[""rich"", ""proud"", ""driver"", ""Wealthy"", ""Rich"", ""happy""]","[""looked at"", ""badmouthed"", ""Is moved from one point to another"", ""Commits wear and tear on new car""]","[""to take someone somewhere"", ""to go somewhere"", ""to get somewhere"", ""to get home on time""]","[""learn to drive"", ""get in the car"", ""buckle seatbelt"", ""to update his insurance company"", ""to get an updated registration"", ""start the car""]","[""neutral"", ""tired"", ""rushed"", ""productive""]","[""get directions"", ""to show off his new purchase"", ""get out of the car"", ""stop car"", ""to test all of the new gadgets in the car"", ""go inside""]"
PersonX spends ___ making,"[""none""]","[""none""]","[""none""]",tst,"[""thorough"", ""dedicated"", ""exact"", ""persistent""]","[""learns from making it"", ""has what they made""]","[""to make something."", ""none""]","[""to learn discipline"", ""none"", ""to work on it in the garage"", ""to be enthusiastic"", ""to practice everyday"", ""to have perseverance""]","[""exhausted from his work"", ""relief""]","[""To be persistent"", ""to take it for a competitions"", ""to show off his talents"", ""to show it off"", ""To achieve a goal"", ""to make the best custom hot rod"", ""to give up""]"
PersonX goes in PersonX ear and out the other,"[""none""]","[""unheard"", ""disrespected""]","[""none""]",tst,"[""bland"", ""boring"", ""Inattentive"", ""Unfocused""]","[""none""]","[""none""]","[""talk/think about something to himself"", ""think about something else at the same time"", ""decide to ignore himself"", ""none""]","[""clueless"", ""none the wiser"", ""befuddled""]","[""eat pizza"", ""respond"", ""N/a"", ""ask again what they missed"", ""watch tv"", ""continue his previous activity""]"
PersonX thinks it was beautiful,"[""none""]","[""none"", ""appreciated""]","[""to tell others about the beauty"", ""to experience the beauty again"", ""none""]",tst,"[""appreciative"", ""polite"", ""nice"", ""peaceful"", ""openmined"", ""kind"", ""happy""]","[""admires something"", ""smiles"", ""PersonX snaps a photo of the item."", ""PersonX purchases the beautiful item."", ""enjoys looking at it"", ""falls in love with something""]","[""to show appreciation"", ""none""]","[""to perceive the beauty"", ""none"", ""to experience the beauty""]","[""satisfied"", ""in awe"", ""appreciative""]","[""to tell others about the beauty"", ""to experience the beauty again"", ""enjoy the beauty"", ""share it with someone""]"
PersonX gives PersonY what for ___,"[""none"", ""hugs PersonX"", ""smiles at PersonX""]","[""none""]","[""to express gratitude"", ""to return the favor"", ""thank person x"", ""hug person x""]",tst,"[""giving"", ""questionable"", ""caring"", ""loving"", ""curious""]","[""gifted"", ""smiles at PersonY"", ""hugs PersonY"", ""love""]","[""to thank persony"", ""persony to have something"", ""to help persony""]","[""wrap a gift"", ""to make calculations"", ""buy a present"", ""to talk to PersonY""]","[""satisfied"", ""grateful"", ""happy""]","[""for PersonY to express gratitude"", ""hand the present to y"", ""to establish a relationship with PersonY"", ""wish y a happy birthday""]"
