event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX does a layup,tst,"[""active"", ""fast"", ""athletic"", ""skilled""]","[""sweats"", ""breaths heavy"", ""saves alot"", ""keeps fit""]","[""none""]",,,"[""he dislike the job so layout"", ""get the likely job"", ""to continue scoring points"", ""to win the game"", ""to play defense"", ""to keep score""]","[""none"", ""to score"", ""to start the play""]",,"[""none"", ""to be on a basketball court"", ""to be holding a basketball"", ""to dribble the ball"", ""to go onto the court""]",PersonX slams dunk
PersonX cares very much.,tst,"[""warm"", ""kind"", ""loving"", ""respectful""]","[""is careful"", ""is loving"", ""smiles"", ""laughs""]","[""none""]","[""Concerned"", ""Connected"", ""about the same"", ""genuine"", ""nothing"", ""happy"", ""happy to help"", ""soft hearted""]","[""none"", ""happy"", ""excited"", ""acceptance"", ""gratitude"", ""glad for the help"", ""relieved""]","[""to offer help"", ""to offer condolences"", ""Find somebody to help"", ""Make the world a better place"", ""get a compliment"", ""got an award""]","[""none"", ""to thank PersonX"", ""to also care very much""]","[""none"", ""people happy"", ""people to not want for anything"", ""to show that they can be counted on"", ""people to know they are good people""]","[""to be empathetic"", ""to be generous"", ""none""]",PersonX can care less
PersonX pays minimum wage,tst,"[""stingy"", ""miserly"", ""smart""]","[""cant find good workers"", ""get abad reputation"", ""business grows"", ""gets complained at""]","[""cannot pay their bills"", ""must find another job"", ""cannot pay bills"", ""goes into debt""]",,,"[""to hire more people"", ""to cut costs"", ""do a work well"", ""best of the knowledge""]","[""none""]",,"[""none"", ""plan for pay rent"", ""get some money""]",PersonX pays very well
PersonX is bare naked.,tst,"[""shameless"", ""free spirited"", ""immodest"", ""exposed""]","[""person x want to wear clothes"", ""person x want to bath"", ""person x want to sleep"", ""none""]","[""none""]",,,"[""ware cloth"", ""take a shower"", ""to wear a new dress"", ""to go out for shopping""]","[""none""]",,"[""none"", ""to bath"", ""to change his clothes""]",PersonX wears PersonX's clothes
PersonX calls PersonY's daughter on the phone.,tst,"[""talkative"", ""chatty"", ""friendly"", ""considerate""]","[""to invite the party"", ""to arrange the foods"", ""talk to person y's daughter"", ""cut the call""]","[""none""]",,,"[""to talk to PersonY's daughter"", ""to ask PersonY's daughter to lunch"", ""talk to Y's daughter"", ""ask Y's daughter questions""]","[""to talk to PersonX"", ""to have lunch with PersonX"", ""to talk to X"", ""to answer X's questions""]",,"[""have a phone"", ""dial a number"", ""to know personY's daughter"", ""to have a phone""]",PersonX visits PersonY's daughter
PersonX takes PersonY connection,tst,"[""cunning"", ""treacherous"", ""greedy"", ""aspiring""]","[""like to hangout"", ""be friendly forever"", ""Y tells X he is mad at him"", ""Y gives X a bill for his connection""]","[""none""]",,,"[""to write an apology letter"", ""to find a way out of the jam"", ""to make gains"", ""to benefit themselves""]","[""to demand an apology"", ""to spread damaging rumors"", ""to ruin personx"", ""to confront personx""]",,"[""none""]",PersonX makes PersonY connection
PersonX hates PersonY's dog,tst,"[""awful"", ""bad"", ""scared of the dog"", ""not a pet lover""]","[""none"", ""Y's dog snarls at X"", ""Y apologizes to X about his dog"", ""Y decides to befriend X""]","[""none""]",,,"[""to kick the dog"", ""to slap the dog"", ""to cause a fight"", ""to be alone""]","[""to send their dog after personx"", ""to make their dog bite personx"", ""none""]",,"[""none""]",PersonX loves PersonY's dog
PersonX stands up PersonY for dinner,tst,"[""neglectful"", ""cold"", ""disrespectful"", ""too busy""]","[""Scolded by personY"", ""Dumped by personY"", ""Forced to live alone"", ""loses PersonY as friend"", ""gets a angry phone call from PersonY""]","[""Forced to pay the bill"", ""Forced to eat alone"", ""none""]",,,"[""to date someone else"", ""a better looking date"", ""to apologize"", ""to buy a gift to make up for it""]","[""to call personx"", ""to confront personx"", ""to call PersonX"", ""to yell at PersonX""]",,"[""none""]",PersonX meets PersonY for dinner
PersonX gets to see PersonX,tst,"[""friendly"", ""amicable"", ""happy""]","[""to exercie"", ""eat snacks"", ""none""]","[""none""]",,,"[""to get therapy"", ""to introduce their imaginary friend""]","[""none""]",,"[""none""]",PersonX loses PersonX's sight
PersonX falls on PersonY's lap,tst,"[""clumsy"", ""ungraceful"", ""goofy""]","[""They laugh out loud"", ""The blush bright red"", ""they are push off"", ""they are grabbed""]","[""They cry out in pain"", ""They laugh out loud"", ""are injured"", ""are startled""]",,,"[""help person y up"", ""appologize"", ""get back up"", ""regain balance"", ""apologize"", ""be helped up""]","[""Scold person x"", ""ask if they are okay"", ""none"", ""ask if personX is alright"", ""help personX up""]",,"[""walk in front of person y"", ""trip over an object"", ""none"", ""be near personY"", ""fall""]",PersonX falls on PersonY's neck
PersonX laughs like a PersonY,tst,"[""mocking"", ""mimicing"", ""copying"", ""admiring"", ""affable"", ""cordial"", ""unoriginal"", ""conformist""]","[""falls down"", ""yells"", ""try to imitate him"", ""like his laughing style"", ""more friendly"", ""more careful to everyone"", ""blushes"", ""smiles""]","[""none""]",,,"[""for PersonY to notice them"", ""to good-naturedly poke fun at PersonY"", ""lovely"", ""honesty,clam"", ""to laugh"", ""to rest"", ""to see PersonY's reaction"", ""to see if others heard the resemblance""]","[""to happily acknowledge the imitation"", ""imitate PersonX in return"", ""none"", ""to clear"", ""to laugh at other"", ""to express their amusement"", ""to acknowledge that it sounded like PersonY""]",,"[""none"", ""get laugh"", ""laugh at the end"", ""to know PersonY"", ""to have heard PersonY laugh""]",PersonX weeps like a PersonY
PersonX loses several competitions,tst,"[""dissapointed"", ""ashamed"", ""unlucky"", ""unfortunate""]","[""Sweats"", ""Is considered a disappointment"", ""gets angry"", ""feels inadequate""]","[""none""]",,,"[""to try to win the next competition"", ""to track progress in their times"", ""to try a different type of competition"", ""to win at something""]","[""none""]",,"[""none"", ""to enter the competition"", ""to practice a lot""]",PersonX wins several awards
PersonX messes up PersonY equilibrium,tst,"[""aggressive"", ""antagonistic"", ""distracting"", ""annoying""]","[""none"", ""end up with conflict"", ""need to ask apologies""]","[""none"", ""person y should work for his justices"", ""forgive person x""]",,,"[""laugh about it"", ""defend self"", ""to clear them"", ""to arrange them back""]","[""to fight PersonX"", ""to get away from PersonX"", ""none""]",,"[""to interrupt PersonY"", ""to think of a way to distract PersonY"", ""none""]",PersonX maintains PersonY equilibrium
PersonX jumps on PersonY's bed.,tst,"[""disrespectful"", ""outgoing"", ""athletic"", ""fun""]","[""playing with children"", ""careful"", ""gets yelled at"", ""gets injured""]","[""none""]",,,"[""Jump more"", ""Keep it up"", ""to sleep"", ""to share the bed""]","[""none""]",,"[""none""]",PersonX lays on PersonY's bed
PersonX boo's PersonY.,tst,"[""ridiculous"", ""silly"", ""rude"", ""uncaring""]","[""none"", ""gets hit"", ""gets yelled at""]","[""none"", ""cries"", ""falls down""]",,,"[""to discourage Y"", ""to get Y to stop"", ""to leave"", ""to make people laugh""]","[""confront x"", ""to say something hurtful to x"", ""to leave"", ""to call them out""]",,"[""none"", ""to be at Y's performance"", ""to watch the performance""]",PersonX roots for PersonY
PersonX starves,tst,"[""hungry"", ""helpless"", ""poor"", ""lacking""]","[""dies"", ""requires refeeding from a doctor"", ""suffers ill health"", ""gets buried"", ""gets hospitalized"", ""gets malnourished""]","[""none""]","[""he feels nothing he is dead"", ""peace if he goes to heaven"", ""tired"", ""hungry"", ""famished""]","[""horrified that they allowed Person X to starve"", ""ashamed"", ""sad"", ""none""]","[""to go home eat food"", ""to drink a beverage"", ""to find a new job"", ""to work hard"", ""buys food"", ""cooks food""]","[""none""]","[""none"", ""to lose weight"", ""to save money by not buying food""]","[""to have forgotten to pack a lunch"", ""to have no money on them"", ""to get a job"", ""food and money"", ""none""]","PersonX eats , drank"
PersonX gets on a bike,tst,"[""mobile"", ""adventerous"", ""energetic"", ""healthy""]","[""becomes nice"", ""worries about tipping over"", ""none""]","[""none""]",,,"[""to ride the bike"", ""to come back home"", ""to pump air into the tires of the bike"", ""to ride the bike somewhere""]","[""none""]",,"[""to get the bike out of the garage"", ""to put on a helmet"", ""none""]",PersonX leaves the car
PersonX gets help with Person's matters.,tst,"[""needy"", ""worried"", ""compassionate"", ""empathetic""]","[""they are given a referral"", ""they are given a lawyer"", ""guided"", ""talked to""]","[""none"", ""thanked"", ""paid""]",,,"[""be strong"", ""bold"", ""to feel more in control"", ""to feel that matters are taken care of""]","[""none"", ""to know they have helped"", ""for PersonX to feel more at ease""]",,"[""none"", ""to have matters in question"", ""to have matters beyond their control""]",PersonX takes matters into PersonX's own hands
PersonX returns PersonY's lost dog.,tst,"[""helpful"", ""heroic"", ""caring""]","[""gets thanked"", ""gets a small thank you gift"", ""gets rewarded""]","[""none"", ""becomes indebted"", ""is reunited with dog""]",,,"[""to go home"", ""to make sure their own dog is safe"", ""to be alone"", ""to stay away""]","[""to thank PersonX"", ""to hug their dog"", ""none""]",,"[""to find the dog"", ""catch the dog"", ""none""]",PersonX loses PersonY's dog
PersonX fasts for Yom Kippur,tst,"[""hungry"", ""spiritual"", ""religious"", ""dedicated""]","[""Becomes hungry"", ""Becomes tired"", ""they break fast"", ""they light candles""]","[""none""]","[""hungry"", ""proud"", ""deprived"", ""pious"", ""Religious"", ""Connected"", ""happy"", ""excited""]","[""none""]","[""to be loyal"", ""to be confident"", ""to finish the job"", ""to treat everyone equal"", ""not to break fasts"", ""to keep calm""]","[""none""]","[""to respect their religious beliefs"", ""to fit in"", ""to avoid being chastised"", ""To observe the holiday"", ""To honor God"", ""none""]","[""none"", ""to sleep"", ""to work""]",PersonX eats crackers
PersonX makes a mess in PersonX's bedroom,tst,"[""sloppy"", ""careless"", ""messy""]","[""Scolded by mother"", ""Told to clean up the room"", ""Grounded for a week"", ""is forced to clean up"", ""is overwhelmed""]","[""none""]","[""stressed"", ""annoyed"", ""tideous"", ""dirty"", ""comfortable"", ""focused""]","[""none""]","[""to clean the room"", ""to maintain the room"", ""clear the things"", ""clean the bathroom"", ""to clean his room"", ""to leave his room""]","[""none""]","[""to find something"", ""to make a space for exercising"", ""to be lazy"", ""to be sloppy"", ""to spread out"", ""to get the project done""]","[""to be mad"", ""to be angry"", ""none"", ""to play in his bedroom"", ""to work in home""]",PersonX cleans PersonX's bedroom
PersonX messes up Person Y's hair.,tst,"[""funny"", ""awkward"", ""kind"", ""giving""]","[""cuts the hair"", ""cleans the hair"", ""catches lice"", ""sticky hands""]","[""none""]",,,"[""to ask sorry to PersonY"", ""to convince Person Y"", ""to laugh"", ""to make a joke""]","[""none"", ""to laugh"", ""to greet PersonX""]",,"[""none"", ""to get close to PersonY"", ""to touch PersonY's hair""]",PersonX smooths PersonY's hair
PersonX breaks glasses,tst,"[""careless"", ""ham-fisted"", ""mean"", ""dumbly""]","[""Sees blurry"", ""Gets personx shoes dirty"", ""gets in debt"", ""gets hurt""]","[""none""]","[""worried"", ""defeated"", ""triumphant"", ""exhilarated"", ""upset"", ""like they need new glasses""]","[""none""]","[""to clean up the glass"", ""to manage their anger"", ""to go to the store"", ""to replace the lens"", ""clean the break glasses"", ""to handle safely"", ""to get new glass"", ""wear them"", ""buys another ones"", ""apologizes for breaking""]","[""none""]","[""to get rid of their anger"", ""to get rid of unwanted items"", ""to be mischievous"", ""to be destructive"", ""none""]","[""to become angry"", ""to grab the glasses"", ""none"", ""to take a glass"", ""to fill coffee""]",PersonX breaks free
Personx lost Personx's ball.,tst,"[""worried"", ""careless"", ""forgetful""]","[""frowns"", ""sighs"", ""sighs in frustration"", ""gets gifted a new ball""]","[""none""]",,,"[""find the object"", ""retrieve the object"", ""to go next door"", ""to ask for help""]","[""none""]",,"[""identify the object"", ""to have the object"", ""none""]",PersonX finds PersonX's ball
